Classification ID,Classification Name,emission_id,hsr_id
31302,Herbs(dried)  and spices ,,
31301,Salt,,
31303,Stock cubes and seasonings ,,2
31501,Chemical raising agents and cooking ingredients ,,2
31502,Gelatine ,,2
12103,Cereal flours and starches,,2
24102,Potato products ,6,2
31401,Essences,,2
31101,Yeast,1,2
29101,"Beers, > 3.5% alcohol ",3,
29102,"Beers, 1.15- 3.5% alcohol, reduced alcohol / light ",3,
29301,Spirits ,,
29401,Cider,,
29201,"Wines, red (including sparkling varieties and rose styles)",30,
29202,"Wines, white (including sparkling varieties)",30,
29203,Fortified wines ,30,
11804,Unfortified dry beverage flavourings,,1
11802,Fortified dry beverage flavourings,,1
11801,Fortified beverage flavourings prepared with water or milk,,1
11803,Unfortified beverage flavourings prepared with water or milk,,1
11205,"Dry coffee powder, caffeinated or decaffeinated",32,
11201,"Coffee beverage, prepared with water",32,
11203,"Coffee beverage, decaffeinated, prepared with water",32,
11202,"Coffee beverage, prepared with milk or milk substitute",32,
11403,Cordial concentrate ,,1
11401,"Cordials, made from concentrate",,1
11307,Fruit drinks (ready to drink or made from concentrate),,1
11301,"Fruit juices, commercially prepared",,1
11702,Purchased packaged water including mineral water,,1
11505,Flavoured mineral waters ,,1
11503,"Soft drinks, cola",,1
11504,"Soft drinks, cola, intense sweetened",,1
11603,Energy drinks,,1
11501,"Soft drinks, non-cola ",,1
11502,"Soft drinks, non-cola, intense sweetened ",,1
11101,"Tea, regular, caffeinated, prepared with water",,
11103,"Tea, regular, decaffeinated, prepared with water or milk",,
11701,"Domestic water (including tap, tank/rain water)",,
13204,"Savoury biscuits, rice based (includes rice cakes)",,2
13202,"Savoury biscuits, wheat based, plain, energy >1800 kJ per 100 g",,2
13201,"Savoury biscuits, wheat based, plain, energy ≤1800 kJ per 100 g",,2
13101,"Sweet biscuits, plain or flavoured including short bread varieties",,2
13106,"Sweet biscuits, chocolate-coated, chocolate or cream filled",,2
13105,"Sweet biscuits, chocolate-coated, chocolate chip ",,2
13104,"Sweet biscuits, cream-filled ",,2
12201,"Breads, and bread rolls, white, mandatorily fortified",1,2
12203,"Breads, and bread rolls, white, not stated as to fortification",1,2
12302,"Flat breads (e.g. Pita bread), wheat based",1,2
12202,"Breads, and bread rolls, white, additional voluntary fortification",1,2
12304,Savoury filled or topped breads and bread rolls,1,2
12207,"Breads, and bread rolls, wholemeal and brown, mandatorily fortified ",1,2
